Name,Type,Color,Description,Material,Price,"In Stock"
"FADED BAGGY JEAN ",Jean,Faded/Black,"Form: Baggy","98% cotton 2% spandex",750000,10
"BROKEN DISTRESSED VINTAGE HAT",Hat,Grey,"Size: FreeSize","100% canvas",350000,1
"BROKEN OVERSIZED TEE ",Tee,White,"Form: OverSize","100% cotton",550000,15
"CANVAS BAGGY CARGO PANTS ",Pant,Black,"Form: Baggy","100% canvas",800000,20
"KAKI SHORT ",Short,Black,"Form: Baggy","100% kaki",600000,10
"M1 KAKI FLARE PANTS ",Pant,Black,"Form: Regular Fit","100% kaki",800000,11
"MVR KAKI WORK JACKET",Jacket,Mustard,"Form: Crop,Boxy","100% kaki",850000,25
"MVR LOGO OVERSIZED TEE",Tee,Black,"Form: OverSize","100% cotton",550000,15
"MVR LOGO SLIM FIT TEE",Tee,White,"Form: Slim Fit","100% cotton",450000,8
"OVERSIZED SHORT SLEEVES SHIRT",Shirt,Black,"Form: OverSize","100% kaki",600000,13
"PRIORITY OVERSIZED SHIRT",Shirt,Black,"Form: OverSize","100% kaki",650000,12
"SPORTY SLIM FIT TEE ",Tee,Black/Grey,"Form: Slim Fit","100% cotton",450000,21
"CROP HOODIE FULL ZIP",Hoodie,Black,"Form: Regular","100% cotton",800000,22
"CROP HOODIE",Hoodie,"Royal Blue","Form: Regular","100% cotton",750000,9
"BAGGY JEAN ",Jean,"Light Blue","Form: Baggy","98% cotton 2% spandex",750000,19
"KAKI WAXED JACKET",Jacket,Olive,"Form: Regular","100% cotton",850000,11
